customer_id,name,dob,age,city,phone,email,annual_income,household_size,signup_date
C000000,Sahil Iyer,1992-05-29,33,Jaypur, 94167-14230 ,sahil.iyer.0000@example.in,633800.0,3.0,2020-05-24
C000001,Sneha Khan,1977-11-26,48,Kochi,6594940869,sneha.khan.0001@example.in,1228700.0,7.0,2020-02-16
C000002,Ishaan Das,1970-08-02,55,Jaipur,6769237943,ishaan.das.0002@example.in,1425700.0,1.0,2024-04-03
C000003,Arjun Bose,1980-08-11,45,Chennai,8182639133,arjun.bose.0003@example.in,866300.0,6.0,2021-12-25
C000004,Priya Shah,1961-09-16,64,Hyderabad,7219249056,priya.shah.0004@example.in,529300.0,3.0,2024-03-04
C000005,Vikram Roy,1985-01-29,40,Mumbai,6464293415,vikram.roy.0005@example.in,436400.0,4.0,2024-07-04
C000006,Rhea Kapoor,2000-10-20,25,Pune,7761312870,rhea.kapoor.0006@example.in,811700.0,3.0,2018-07-20
C000007,Rohan Banerjee,1987-06-10,38, Kochi ,8048563517,rohan.banerjee.0007@example.in,818100.0,5.0,2017-04-12
C000008,Sanjay Jain,1987-03-30,38,Kolkatta,6042232912,sanjay.jain.0008@example.in,3048600.0,6.0,2016-10-08
C000009,Arjun Singh,1994-03-21,31,Bhopal,8574207270,arjun.singh.0009@example.in,313500.0,5.0,2019-09-02
C000010,Varun Mishra,1963-05-30,62,Jaipur,7501491126,varun.mishra.0010@example.in,586900.0,2.0,2023-05-02
C000011,Rhea Menon,1963-12-26,62,Kochi, 76927-03254 ,rhea.menon.0011@example.in,1151100.0,6.0,2022-04-29
C000012,Pranav Sen,1954-10-10,71,Hyderabad,91-827-094-1593,pranav.sen.0012@example.in,587600.0,4.0,2020-01-08
C000013,Pooja Singh,2004-07-29,21,Pune,7479634349,pooja.singh.0013@example.in,869400.0,4.0,2022-08-14
C000014,Tanvi Nair,1965-03-22,60,Bengaluru,,tanvinair0014@example.in,509800.0,,2024-11-09
C000015,Varun Jain,1958-03-10,67,Kochi,9670874182,varun.jain.0015@example.in,1623800.0,7.0,2018-06-08
C000016,Arjun Mukherjee,1964-12-12,61,Mumbai, 74727-58105 ,arjun.mukherjee.0016@example.in,814500.0,6.0,2017-07-07
C000017,Krishna Mishra,1983-02-02,42,Lucknow,9992136414,krishna.mishra.0017@example.in,365600.0,7.0,2025-10-11
C000018,Shreya Mukherjee,1961-09-18,64,Bangalore,91-616-983-6378,shreya.mukherjee.0018@example.in,616200.0,,2025-04-18
C000019,Priya Rao,1965-05-17,60,Ahmedabad,9043644449,priya.rao.0019@example.in,,1.0,2015-06-02
C000020,Kabir Sharma,1972-09-02,53,Chennai,8206211185,kabir.sharma.0020@example.in,1432300.0,6.0,2017-02-12
C000021,Zoya Bose,2000-10-22,25,Hyderabad, 91641-46769 ,zoya.bose.0021@example.in,418200.0,1.0,2020-01-11
C000022,Akshay Tiwari,1974-01-06,51,Jaipur,(874) 945-0361,akshay.tiwari.0022@example.in,372100.0,,2020-07-22
C000023,Rhea Mishra,1956-02-18,69,Delhi,9041395014,rhea.mishra.0023@example.in,1039200.0,5.0,2017-04-15
C000024,Kabir Khan,1952-07-19,73,PUNE,7310455153,kabir.khan.0024@example.in,,2.0,2023-04-21
C000025,Nikhil Rao,1959-11-06,66,Hyderabad,9811833449,nikhil.rao.0025@example.in,563000.0,3.0,2018-07-12
C000026,Aditi Roy,1969-11-18,56,Kochi,9179888966,aditi.roy.0026@example.in,1681900.0,5.0,2016-01-29
C000027,Priya Iyer,1985-01-01,41,Ahmedabad,8022527157,priya.iyer.0027@example.in,578100.0,1.0,2024-02-13
C000028,Pooja Verma,1960-10-02,65,Kochi,6208444239,pooja.verma.0028@example.in,1526100.0,3.0,2017-07-26
C000029,Arjun Nair,2004-01-19,21,Lucknow,,arjun.nair.0029@example.in,1049800.0,7.0,2017-05-05
C000030,Zoya Singh,1984-01-16,41,Jaipur,8438724410,,1240600.0,3.0,2019-09-04
C000031,Sanjay Sharma,1981-09-25,44,Kolkata,8999033070,sanjay.sharma.0031@example.in,478900.0,,2017-03-09
C000032,Sanjay Sharma,1994-03-15,31,Kolkata,6655258185, sanjay.sharma.0032@example.in ,1464900.0,3.0,2020-08-21
C000033,Meera Nair,1998-07-20,27,Dilli,9330429819,meera.nair.0033@example.in,1696500.0,,2021-02-20
C000034,Saanvi Kapoor,2000-12-24,25,Bengaluru,7258557547,saanvi.kapoor.0034@example.in,1034600.0,4.0,2019-05-19
C000035,Diya Bose,1960-10-12,65,Pune,9048014198,diya.bose.0035@example.in,670500.0,6.0,2015-09-03
C000036,Kavya Nair,1983-06-22,42,Bengaluru,6053102237,kavya.nair.0036@example.in,780000.0,4.0,2024-02-08
C000037,Pooja Banerjee,1993-04-04,32,Jaipur,7306486019,pooja.banerjee.0037@example.in,960000.0,7.0,2016-08-03
C000038,Ishita Roy,1964-08-03,61,Bengaluru,8989271285,ishita.roy.0038@example.in,360200.0,4.0,2024-12-15
C000039,Nikhl Shah,1952-08-20,73,Mumbai,9688613902,nikhil.shah.0039@example.in,525100.0,7.0,2022-11-02
C000040,Varun Rao,1980-06-16,45,Kolkata,7145008591,varun.rao.0040@example.in,395000.0,,2017-09-22
C000041,Arjun Desai,1974-05-07,51,Bengaluru,6991719455,arjun.desai.0041@example.in,834200.0,2.0,2024-05-07
C000042,Sahil Gupta,1952-04-13,73,Lucknow,6537562672,sahil.gupta.0042@example.in,511600.0,2.0,2021-01-10
C000043,Shreya Singh,1988-09-13,37,Bhopal,8005691872,shreya.singh.0043@example.in,1239000.0,1.0,2023-02-27
C000044,Sahil Mehta,2002-01-05,23,Delhi,9455825763,sahil.mehta.0044@example.in,237600.0,5.0,2025-12-17
C000045,Diya Jain,1981-10-11,44,Kochi,8741310193,diya.jain.0045@example.in,900400.0,1.0,2019-08-21
C000046,Tanvi Singh,2004-11-28,21,MUMBAI,9925742881,tanvi.singh.0046@example.in,,2.0,2021-09-19
C000047,Arjun Jain,1991-08-29,34,Bhopal,6495444030,arjun.jain.0047@example.in,609800.0,4.0,2022-12-22
C000048,Kabir Mehta,1952-05-26,73,Delhi,8737661233,kabir.mehta.0048@example.in,602600.0,1.0,2015-03-20
C000049,Sneha Das,1958-06-25,67,Jaipur,7522021069,sneha.das.0049@example.in,584800.0,3.0,2021-04-24
C000050,Kavya Rao,1966-07-04,59,Bhopal,8747058506,kavya.rao.0050@example.in,959000.0,1.0,2017-11-13
C000051,Saanvi Banerjee,1997-04-22,28,Bhopal,6646734179,saanvi.banerjee.0051@example.in,1178900.0,5.0,2018-07-10
C000052,Shreya Tiwari,1960-05-12,65,Bengaluru,8326682847,shreya.tiwari.0052@example.in,528700.0,6.0,2019-02-26
C000053,Nikhil Rao,1993-08-15,32,Delhi, 79740-60451 ,nikhil.rao.0053@example.in,504600.0,1.0,2016-05-04
C000054,Pooja Chandra,1993-11-14,32,Chennai,6767408282,pooja.chandra.0054@example.in,778800.0,6.0,2015-09-17
C000055,Sneha Menon,1965-09-30,60,LUCKNOW,7628219706,sneha.menon.0055@example.in,,1.0,2023-01-17
C000056,Sahil Rao,1971-12-21,54,Hyderabad,7770231663,sahil.rao.0056@example.in,936800.0,4.0,2021-07-04
C000057,Saanvi Joshi,1990-04-16,35,Mumbai,7331893323,saanvi.joshi.0057@example.in,4094800.0,4.0,2025-09-24
C000058,Rhea Banerjee,1999-10-17,26,Bengaluru,7770898814,rhea.banerjee.0058@example.in,1217700.0,6.0,2016-12-13
C000059,Rohan Mukherjee,1951-10-07,74,Chennai,8665590273,rohan.mukherjee.0059@example.in,388600.0,3.0,2015-04-19
C000060,Kabir Patel,1954-01-02,71,Jaipur,9024915736,kabir.patel.0060@example.in,521200.0,7.0,2022-11-24
C000061,  rhea   desai  ,1957-12-12,68,Bengaluru,+91 68265 04783,rhea.desai.0061@example.in,1441700.0,3.0,2019-03-28
C000062,Aditya Sinha,1952-04-08,73,Bengaluru,6103763035,aditya.sinha.0062@example.in,1111200.0,7.0,2016-02-18
C000063,Kavya Singh,2003-10-24,22,Mumbai,6436294345,kavya.singh.0063@example.in,342900.0,4.0,2017-04-24
C000064,Rahul Jain,2001-08-02,24, Jaipur ,8465223193,rahul.jain.0064@example.in,619900.0,5.0,2022-03-09
C000065,Rohan Joshi,1965-12-30,60,Mumbai,9563294715,rohan.joshi.0065@example.in,2020600.0,6.0,2015-11-17
C000066,Tanvi Menon,1977-05-10,48,Mumbai,9345724914,tanvi.menon.0066@example.in,554100.0,,2023-02-22
